Difference: 0.031352999999999895 - min/max (50 pop, 20 it)

{'node1': 'K2', 'node2': 'SW/K02', 'distance': 0.19734285641126972, 'coeff': 0.0013968868252864433, 'pipe_found': True}
{'node1': 'SW/K02', 'node2': 'SW21', 'distance': 0.11978450493095316, 'coeff': 0.008892290072783016, 'pipe_found': True}
{'node1': 'J8', 'node2': 'SW/OB', 'distance': 0.15672525297542705, 'coeff': 0.00032800268961133975, 'pipe_found': True}
{'node1': 'HP17', 'node2': 'HP1', 'distance': 0.12104340758505848, 'coeff': 0.009306682965059144, 'pipe_found': True}
{'node1': 'OB1', 'node2': 'HP2', 'distance': 0.10874351953610431, 'coeff': 0.003037171310258924, 'pipe_found': True}
{'node1': 'HP2', 'node2': 'OB2', 'distance': 0.18854817848763156, 'coeff': 0.002232596358323624, 'pipe_found': True}
{'node1': 'HP26', 'node2': 'SW7', 'distance': 0.16325391170700368, 'coeff': 0.0006597668813159819, 'pipe_found': True}
{'node1': 'SW7', 'node2': 'SW7.1', 'distance': 0.11818340629919995, 'coeff': 0.0006803552943438707, 'pipe_found': True}
{'node1': 'LE1', 'node2': 'LE2', 'distance': 0.10141440617844868, 'coeff': 0.0027636671600966612, 'pipe_found': True}
{'node1': 'J6', 'node2': 'n155', 'distance': 0.1357990894375143, 'coeff': 0.01024218553527978, 'pipe_found': True}
{'node1': 'ZD1', 'node2': 'n156', 'distance': 0.10279745456820547, 'coeff': 0.0020787517837429826, 'pipe_found': True}
{'node1': 'SW19', 'node2': 'SW20', 'distance': 0.15735178955052184, 'coeff': 0.0016457016433876982, 'pipe_found': True}
{'node1': 'GO2', 'node2': 'GO01', 'distance': 0.14463508717489973, 'coeff': 0.016529021375534414, 'pipe_found': True}
{'node1': 'LA2', 'node2': 'HP12', 'distance': 0.12529131852027575, 'coeff': 0.006158237030444192, 'pipe_found': True}
{'node1': 'SO3', 'node2': 'SO3.1', 'distance': 0.12673334862444446, 'coeff': 0.0014709054071757933, 'pipe_found': True}
{'node1': 'ZD8', 'node2': 'J23', 'distance': 0.1426796584811516, 'coeff': 0.008698607920993041, 'pipe_found': True}
{'node1': 'K3', 'node2': 'SW/K01', 'distance': 0.25181050041353736, 'coeff': 0.0014532321767896095, 'pipe_found': True}
{'node1': 'K1', 'node2': 'SW/K02', 'distance': 0.15649468829490615, 'coeff': 0.006240770813214514, 'pipe_found': True}
{'node1': 'AN3', 'node2': 'HP16', 'distance': 0.1, 'coeff': 0.0015701611999227262, 'pipe_found': True}
{'node1': 'SO2', 'node2': 'J24', 'distance': 0.10166583832487204, 'coeff': 0.00542779895574157, 'pipe_found': True}
{'node1': 'J5', 'node2': 'J7', 'distance': 0.14177339348820128, 'coeff': 0.006702825367388943, 'pipe_found': True}
{'node1': 'J7', 'node2': 'P1', 'distance': 0.14362272007103966, 'coeff': 0.0038964083333279933, 'pipe_found': True}
{'node1': 'P3', 'node2': 'P2', 'distance': 0.1946059241341896, 'coeff': 0.0005004873316430847, 'pipe_found': True}
{'node1': 'J10', 'node2': 'SW21', 'distance': 0.17235788793026474, 'coeff': 0.00598109900806102, 'pipe_found': True}
{'node1': 'J18', 'node2': 'SW19', 'distance': 0.21420934698848892, 'coeff': 0.010343196324337424, 'pipe_found': True}
{'node1': 'J27', 'node2': 'J7', 'distance': 0.1239904782624695, 'coeff': 0.0006520871859656331, 'pipe_found': True}
{'node1': 'J38', 'node2': 'SW1', 'distance': 0.11519595235812768, 'coeff': 0.005933267071600346, 'pipe_found': True}
{'node1': 'AN/JPII2', 'node2': 'J42', 'distance': 0.207309290016749, 'coeff': 0.0072799851205946455, 'pipe_found': True}]
Difference: 0.08837099999999978 - min/max with 'egalitaryzm' (50 pop, 20 it)

{'node1': 'RED1', 'node2': 'J37', 'distance': 0.21982132404861707, 'coeff': 0.003974903762224358, 'pipe_found': True}
{'node1': 'SW/SD', 'node2': 'SD1', 'distance': 0.2345537134002668, 'coeff': 0.033584430048859464, 'pipe_found': True}
{'node1': 'SW/SD', 'node2': 'SW3', 'distance': 0.33619093122879307, 'coeff': 0.0007373916950637049, 'pipe_found': True}
{'node1': 'SW3', 'node2': 'J41', 'distance': 0.18104032678669135, 'coeff': 0.018027724152138793, 'pipe_found': True}
{'node1': 'ZD4', 'node2': 'HP28', 'distance': 0.20708273925803047, 'coeff': 0.008594950898833116, 'pipe_found': True}
{'node1': 'HP28', 'node2': 'ZD5', 'distance': 0.15290508763823152, 'coeff': 0.00810157061360417, 'pipe_found': True}
{'node1': 'ZD6', 'node2': 'HP27', 'distance': 0.11449945567663163, 'coeff': 0.0050484050333708536, 'pipe_found': True}
{'node1': 'ZD5', 'node2': 'ZD6', 'distance': 0.18187610573467758, 'coeff': 0.011595779129996965, 'pipe_found': True}
{'node1': 'HP27', 'node2': 'ZD7', 'distance': 0.26826542122925234, 'coeff': 0.014291524027982318, 'pipe_found': True}
{'node1': 'SO2', 'node2': 'SO/SD', 'distance': 0.28277932199220535, 'coeff': 0.007264985737535879, 'pipe_found': True}
{'node1': 'ZD1', 'node2': 'ZD2', 'distance': 0.16303236337788884, 'coeff': 0.012287267768859179, 'pipe_found': True}
{'node1': 'ZD2', 'node2': 'ZD3', 'distance': 0.11026947490821334, 'coeff': 0.02416607052668426, 'pipe_found': True}
{'node1': 'SO2', 'node2': 'SD11', 'distance': 0.1441239643197621, 'coeff': 0.03016951246371341, 'pipe_found': True}
{'node1': 'SD11', 'node2': 'SD12', 'distance': 0.14063339664401814, 'coeff': 0.009975272501956213, 'pipe_found': True}
{'node1': 'SO/SD', 'node2': 'SO3', 'distance': 0.15971332400516422, 'coeff': 0.04011480262500722, 'pipe_found': True}
{'node1': 'SO3', 'node2': 'SW/SO_Z', 'distance': 0.10218596056946427, 'coeff': 0.0056640550632967475, 'pipe_found': True}
{'node1': 'SW4', 'node2': 'SW5', 'distance': 0.15250216970020017, 'coeff': 0.022772413970263763, 'pipe_found': True}
{'node1': 'SW5', 'node2': 'SW6', 'distance': 0.19906988021908464, 'coeff': 0.03817259764086332, 'pipe_found': True}
{'node1': 'SW6_Z', 'node2': 'HP26', 'distance': 0.16953931131420985, 'coeff': 0.020516243130584047, 'pipe_found': True}
{'node1': 'SD2', 'node2': 'SD2.1', 'distance': 0.14553452575460632, 'coeff': 0.007425494509521136, 'pipe_found': True}
{'node1': 'SD5', 'node2': 'SD6', 'distance': 0.21289789036199327, 'coeff': 0.00012548211949273692, 'pipe_found': True}
{'node1': 'HP9', 'node2': 'SD9', 'distance': 0.20967182789660388, 'coeff': 0.0024395317530865658, 'pipe_found': True}
{'node1': 'SD9', 'node2': 'SD10', 'distance': 0.19297769688705346, 'coeff': 0.015090268935346197, 'pipe_found': True}
{'node1': 'SD10', 'node2': 'SD10.1', 'distance': 0.18995221023610231, 'coeff': 0.019236878180684515, 'pipe_found': True}
{'node1': 'SW6', 'node2': 'HP25', 'distance': 0.18569592809045982, 'coeff': 0.01406601749541806, 'pipe_found': True}
{'node1': 'SW8', 'node2': 'J34', 'distance': 0.1312562330872692, 'coeff': 0.008997889879032758, 'pipe_found': True}
{'node1': 'RO5', 'node2': 'RO4', 'distance': 0.2290701146508651, 'coeff': 0.0013857687322437419, 'pipe_found': True}
