{'node1': 'J21', 'node2': 'SW17', 'distance': 0.7963506382984991, 'coeff': 0.04087435005204354, 'pipe_found': True}
{'node1': 'SW17', 'node2': 'J3', 'distance': 0.23999445554248844, 'coeff': 0.059021862448209936, 'pipe_found': True}
{'node1': 'J4', 'node2': 'SW/ZA', 'distance': 0.24767944001455958, 'coeff': 0.027625828199882255, 'pipe_found': True}
{'node1': 'AN4', 'node2': 'AN3', 'distance': 0.538130513511972, 'coeff': 0.0755645596398654, 'pipe_found': True}
{'node1': 'SW/ZA_Z', 'node2': 'ZA1', 'distance': 0.40669848924301333, 'coeff': 0.0013707614803232515, 'pipe_found': True}
{'node1': 'SW/ZA', 'node2': 'HP19', 'distance': 0.8857344320356411, 'coeff': 0.04865020213040482, 'pipe_found': True}
{'node1': 'HP19', 'node2': 'SW/LE', 'distance': 0.563436214626399, 'coeff': 0.07672459212199337, 'pipe_found': True}
{'node1': 'SW/LE', 'node2': 'SW18', 'distance': 0.1, 'coeff': 0.041939402040583676, 'pipe_found': True}
{'node1': 'SW18', 'node2': 'HP18', 'distance': 0.24219021804473628, 'coeff': 0.02750295289199436, 'pipe_found': True}
{'node1': 'LE0', 'node2': 'LE1', 'distance': 0.8635585598211514, 'coeff': 0.006663780449532231, 'pipe_found': True}
{'node1': 'SD17', 'node2': 'SD16', 'distance': 0.42991432451173217, 'coeff': 0.052667127403194784, 'pipe_found': True}
{'node1': 'LA1', 'node2': 'LA2', 'distance': 0.7886617439504645, 'coeff': 0.03799623291715318, 'pipe_found': True}
{'node1': 'HP12', 'node2': 'LA3', 'distance': 0.13588143200047284, 'coeff': 0.1, 'pipe_found': True}
{'node1': 'J19', 'node2': 'SD13', 'distance': 0.5647544831011719, 'coeff': 0.018967949198707625, 'pipe_found': True}
{'node1': 'HP8', 'node2': 'SD/LA', 'distance': 0.3998276758461532, 'coeff': 0.003895622675396837, 'pipe_found': True}
{'node1': 'SD13', 'node2': 'SD14', 'distance': 0.3290323223958411, 'coeff': 0.04556938590944569, 'pipe_found': True}
{'node1': 'SD14', 'node2': 'HP8', 'distance': 0.7031861447602261, 'coeff': 0.027161820954813287, 'pipe_found': True}
{'node1': 'HP7', 'node2': 'GO1.1', 'distance': 0.7315898803681796, 'coeff': 0.01388459107333352, 'pipe_found': True}
{'node1': 'GO16', 'node2': 'GO1', 'distance': 0.8061099140626794, 'coeff': 0.03641269861890981, 'pipe_found': True}
{'node1': 'GO1.1', 'node2': 'GO1', 'distance': 0.35467197855505694, 'coeff': 0.0010075923225521949, 'pipe_found': True}
{'node1': 'GO1', 'node2': 'GO2', 'distance': 0.5966544930073497, 'coeff': 0.018446296683712036, 'pipe_found': True}
{'node1': 'GO2', 'node2': 'HP6', 'distance': 0.718808014887059, 'coeff': 0.018720293490389762, 'pipe_found': True}
{'node1': 'J15', 'node2': 'GO3', 'distance': 0.8703189556125505, 'coeff': 0.03663605636732601, 'pipe_found': True}
{'node1': 'GO3', 'node2': 'J14', 'distance': 0.6291183716402718, 'coeff': 0.017399274529697552, 'pipe_found': True}
{'node1': 'GO4', 'node2': 'GO5', 'distance': 0.7558324405257312, 'coeff': 0.05006529134298787, 'pipe_found': True}
{'node1': 'SD/GO1.1', 'node2': 'SD19', 'distance': 0.35124705710598236, 'coeff': 0.09278026931595228, 'pipe_found': True}
{'node1': 'HP5', 'node2': 'GO6', 'distance': 0.4659244391895816, 'coeff': 0.1, 'pipe_found': True}
{'node1': 'SD18', 'node2': 'SD/GO01', 'distance': 0.21557105253441242, 'coeff': 0.019537710545554778, 'pipe_found': True}
{'node1': 'SW/P02', 'node2': 'SW16', 'distance': 0.5197682717214137, 'coeff': 0.049631844946190176, 'pipe_found': True}
{'node1': 'SD/LA', 'node2': 'SD15', 'distance': 0.535124946645112, 'coeff': 0.018041481956660953, 'pipe_found': True}
{'node1': 'J16', 'node2': 'SD15', 'distance': 0.9, 'coeff': 0.09967443325509905, 'pipe_found': True}
{'node1': 'SD15', 'node2': 'SD/GO', 'distance': 0.3380958851130157, 'coeff': 0.0689087506722436, 'pipe_found': True}
{'node1': 'SD/GO', 'node2': 'SD19', 'distance': 0.4106123959820047, 'coeff': 0.08386830815171531, 'pipe_found': True}
{'node1': 'J12', 'node2': 'SW/K01', 'distance': 0.6559604305335124, 'coeff': 0.05590132478583502, 'pipe_found': True}
{'node1': 'K1', 'node2': 'SW/K01', 'distance': 0.7378020926663533, 'coeff': 0.08697963077418831, 'pipe_found': True}
{'node1': 'K2', 'node2': 'SW/K02', 'distance': 0.2368120038741288, 'coeff': 0.01636231717523581, 'pipe_found': True}
{'node1': 'SW/K02', 'node2': 'SW21', 'distance': 0.3408917601859101, 'coeff': 0.008938223033851346, 'pipe_found': True}
{'node1': 'J8', 'node2': 'SW/OB', 'distance': 0.5581309522851905, 'coeff': 0.011045451180248245, 'pipe_found': True}
{'node1': 'HP17', 'node2': 'HP1', 'distance': 0.29059714014867744, 'coeff': 0.05515147797427379, 'pipe_found': True}
{'node1': 'HP1', 'node2': 'OB1', 'distance': 0.2106659616373236, 'coeff': 0.0965884263550559, 'pipe_found': True}
{'node1': 'OB1', 'node2': 'HP2', 'distance': 0.6285071058378034, 'coeff': 0.03337240855518241, 'pipe_found': True}
{'node1': 'HP2', 'node2': 'OB2', 'distance': 0.7533961281003834, 'coeff': 0.04895940486776042, 'pipe_found': True}
{'node1': 'HP26', 'node2': 'SW7', 'distance': 0.6834761453205066, 'coeff': 0.022147305021580056, 'pipe_found': True}
{'node1': 'SW7', 'node2': 'SW7.1', 'distance': 0.17485618307241052, 'coeff': 0.06550523140403489, 'pipe_found': True}
{'node1': 'J28', 'node2': 'P3', 'distance': 0.8544700898847379, 'coeff': 0.0198150309859622, 'pipe_found': True}
{'node1': 'LE1', 'node2': 'LE2', 'distance': 0.2668451236214655, 'coeff': 0.010453172995704297, 'pipe_found': True}
{'node1': 'J6', 'node2': 'n155', 'distance': 0.9, 'coeff': 0.0482902886298944, 'pipe_found': True}
{'node1': 'ZD1', 'node2': 'n156', 'distance': 0.17854636055922735, 'coeff': 0.07864225798023189, 'pipe_found': True}
{'node1': 'SW19', 'node2': 'SW20', 'distance': 0.7564785981144482, 'coeff': 0.023705216286885947, 'pipe_found': True}
{'node1': 'GO2', 'node2': 'GO01', 'distance': 0.46149856330774264, 'coeff': 0.01715607164722428, 'pipe_found': True}
